	riqM	abdPM	riqPh	abdPh	riqCr	abdCr	H2	Mod_zs	DistMedBorda	nButHa	CArboPlog	DistVMed
1	3.428571429	6.857142857	1.142857143	1.571428571	2.285714286	5.285714286	0.4697899	5.812759	19.7	67	1.357360325	4.551666667
2	2.285714286	5	1.285714286	1.714285714	1	3.285714286	0.5487177	4.937897	27.6	35	0.549054224	5.87375
3	3	7.555555556	1.666666667	1.888888889	1.333333333	5.666666667	0.4203839	1.856695	49.6	29	0.288623909	5.045
4	3.714285714	6	1.857142857	2	1.857142857	4	0.2785486	0.8505309	83.8	52	0.99079286	4.16125
5	2.666666667	5	1.444444444	1.888888889	1.222222222	3.111111111	0.2785486	2.207869	88.4	55	0.507911775	3.0409375
6	2.333333333	4.333333333	1.5	1.666666667	0.833333333	2.666666667	0.6199314	3.707368	109.1	3	0	8.03875
7	2.666666667	4	1	1.333333333	1.666666667	2.666666667	0.3396348	0.889326	163	54	0.122717582	4.225833333
8	2.777777778	7.555555556	1.111111111	1.222222222	1.666666667	6.333333333	0.4701985	5.874858	179.4	91	0.601440058	3.974027778
9	4	8.8	2.6	3.4	1.4	5.4	0.3487961	1.373886	150.8	18	0	3.954375
10	3.25	15.75	1.25	1.25	2	14.5	0.276525	1.21778	209.7	15	0	5.7796875
11	2.666666667	7.444444444	1.555555556	2.333333333	1.111111111	5.111111111	0.3914564	3.735371	249.6	26	0	6.457
12	2.6	7.8	0.8	1.6	1.4	6.2	0.7259072	6.497451	282.6	14	0	9.231875
13	2.857142857	4.714285714	1.285714286	1.428571429	1.571428571	3.285714286	0.2670135	0.3800434	301	9	0	8.489
14	2.8	8	1.2	1.4	1.6	6.6	0.4769782	4.807761	342	12	0	11.874
15	1.5	5.666666667	0.5	0.666666667	1	5	0.684018	2.293168	371.6	49	0	8.701666667
