higher	lower	webID	freq
ThySp.	B.od1.7	network1	0
ApiMel	B.od1.7	network1	0
AgaSp.	B.od1.7	network1	0
LasSp.	B.od1.7	network1	2
MisSp.	B.od1.7	network1	1
AllSp.	B.od1.7	network1	0
PalSp.	B.od1.7	network1	0
PolCav	B.od1.7	network1	0
PolSp.	B.od1.7	network1	0
PolVer	B.od1.7	network1	0
PalSp.1	B.od1.7	network1	0
DiaSp.1	B.od1.7	network1	0
PolIgn	B.od1.7	network1	0
CopSp.	B.od1.7	network1	0
CopSp.1	B.od1.7	network1	0
MusSp.	B.od1.7	network1	0
CalPet	B.od1.7	network1	0
DioSp.	B.od1.7	network1	0
AgiSp.	B.od1.7	network1	0
ExoSp.	B.od1.7	network1	0
AgaSp.1	B.od1.7	network1	0
PseSp.	B.od1.7	network1	0
AgiSp.1	B.od1.7	network1	0
BraSp.	B.od1.7	network1	0
MusSp.1	B.od1.7	network1	0
CanSp.1	B.od1.7	network1	0
MorSp.	B.od1.7	network1	0
NitSp.	B.od1.7	network1	0
ThySp.1	B.od1.7	network1	0
SphSp.	B.od1.7	network1	0
ExoTri	B.od1.7	network1	0
AgaSp.3	B.od1.7	network1	0
AugSp.	B.od1.7	network1	0
DiaSp.2	B.od1.7	network1	1
ExoSp.1	B.od1.7	network1	1
AgaSp.2	B.od1.7	network1	1
Meg(C)Sp.	B.od1.7	network1	0
PolCar	B.od1.7	network1	0
ThySp.	B.od1.4	network1	0
ApiMel	B.od1.4	network1	0
AgaSp.	B.od1.4	network1	2
LasSp.	B.od1.4	network1	1
MisSp.	B.od1.4	network1	0
AllSp.	B.od1.4	network1	0
PalSp.	B.od1.4	network1	0
PolCav	B.od1.4	network1	0
PolSp.	B.od1.4	network1	0
PolVer	B.od1.4	network1	0
PalSp.1	B.od1.4	network1	0
DiaSp.1	B.od1.4	network1	0
PolIgn	B.od1.4	network1	0
CopSp.	B.od1.4	network1	0
CopSp.1	B.od1.4	network1	0
MusSp.	B.od1.4	network1	0
CalPet	B.od1.4	network1	0
DioSp.	B.od1.4	network1	0
AgiSp.	B.od1.4	network1	0
ExoSp.	B.od1.4	network1	0
AgaSp.1	B.od1.4	network1	2
PseSp.	B.od1.4	network1	0
AgiSp.1	B.od1.4	network1	0
BraSp.	B.od1.4	network1	0
MusSp.1	B.od1.4	network1	0
CanSp.1	B.od1.4	network1	0
MorSp.	B.od1.4	network1	0
NitSp.	B.od1.4	network1	0
ThySp.1	B.od1.4	network1	0
SphSp.	B.od1.4	network1	1
ExoTri	B.od1.4	network1	0
AgaSp.3	B.od1.4	network1	0
AugSp.	B.od1.4	network1	0
DiaSp.2	B.od1.4	network1	7
ExoSp.1	B.od1.4	network1	0
AgaSp.2	B.od1.4	network1	0
Meg(C)Sp.	B.od1.4	network1	0
PolCar	B.od1.4	network1	0
ThySp.	B.od1.5	network1	0
ApiMel	B.od1.5	network1	1
AgaSp.	B.od1.5	network1	1
LasSp.	B.od1.5	network1	1
MisSp.	B.od1.5	network1	0
AllSp.	B.od1.5	network1	0
PalSp.	B.od1.5	network1	0
PolCav	B.od1.5	network1	0
PolSp.	B.od1.5	network1	0
PolVer	B.od1.5	network1	0
PalSp.1	B.od1.5	network1	0
DiaSp.1	B.od1.5	network1	0
PolIgn	B.od1.5	network1	0
CopSp.	B.od1.5	network1	0
CopSp.1	B.od1.5	network1	0
MusSp.	B.od1.5	network1	0
CalPet	B.od1.5	network1	0
DioSp.	B.od1.5	network1	0
AgiSp.	B.od1.5	network1	0
ExoSp.	B.od1.5	network1	0
AgaSp.1	B.od1.5	network1	0
PseSp.	B.od1.5	network1	0
AgiSp.1	B.od1.5	network1	0
BraSp.	B.od1.5	network1	0
MusSp.1	B.od1.5	network1	0
CanSp.1	B.od1.5	network1	0
MorSp.	B.od1.5	network1	0
NitSp.	B.od1.5	network1	0
ThySp.1	B.od1.5	network1	0
SphSp.	B.od1.5	network1	0
ExoTri	B.od1.5	network1	0
AgaSp.3	B.od1.5	network1	0
AugSp.	B.od1.5	network1	0
DiaSp.2	B.od1.5	network1	0
ExoSp.1	B.od1.5	network1	0
AgaSp.2	B.od1.5	network1	0
Meg(C)Sp.	B.od1.5	network1	0
PolCar	B.od1.5	network1	0
ThySp.	B.od1.5a	network1	0
ApiMel	B.od1.5a	network1	0
AgaSp.	B.od1.5a	network1	2
LasSp.	B.od1.5a	network1	3
MisSp.	B.od1.5a	network1	0
AllSp.	B.od1.5a	network1	0
PalSp.	B.od1.5a	network1	0
PolCav	B.od1.5a	network1	0
PolSp.	B.od1.5a	network1	0
PolVer	B.od1.5a	network1	0
PalSp.1	B.od1.5a	network1	0
DiaSp.1	B.od1.5a	network1	0
PolIgn	B.od1.5a	network1	0
CopSp.	B.od1.5a	network1	0
CopSp.1	B.od1.5a	network1	0
MusSp.	B.od1.5a	network1	0
CalPet	B.od1.5a	network1	0
DioSp.	B.od1.5a	network1	0
AgiSp.	B.od1.5a	network1	0
ExoSp.	B.od1.5a	network1	0
AgaSp.1	B.od1.5a	network1	1
PseSp.	B.od1.5a	network1	0
AgiSp.1	B.od1.5a	network1	0
BraSp.	B.od1.5a	network1	0
MusSp.1	B.od1.5a	network1	0
CanSp.1	B.od1.5a	network1	0
