	point1	point2	point3	point4	point5	point6	point7	point8	point9	point10	point11	point12	point13	point14	point15
BraSp.	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
CanSp.1	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0
MisSp.	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
MorSp.	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PolCar	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PolCav	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1
PolIgn	0	0	1	0	1	0	0	0	2	0	0	0	1	0	0
PolSp.	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
PolVer	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0
ThySp.	6	5	8	1	5	4	1	9	3	0	3	10	4	20	22
ThySp.1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
AgaSp.	6	1	5	4	4	2	4	11	1	10	14	5	7	5	2
AgaSp.1	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0
AgaSp.2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AgaSp.3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AgiSp.	0	0	1	1	3	0	0	4	0	0	1	0	0	0	0
AgiSp.1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ApiMel	10	18	38	18	23	12	4	37	20	31	32	7	12	8	8
AugSp.	0	0	0	2	0	0	0	0	1	2	0	2	0	0	0
CalPet	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
DiaSp.	7	3	0	6	2	2	0	1	1	17	4	3	3	2	0
DiaSp.1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ExoSp.	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ExoSp.1	1	1	2	0	0	0	0	1	0	0	0	0	0	0	0
ExoTri	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DiaSp.2	8	1	1	0	1	0	0	1	0	0	0	0	0	0	0
Meg.C.Sp.	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
PseSp.	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
AllSp.	0	0	1	3	0	1	0	0	3	1	2	2	0	1	0
CopSp.	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CopSp.1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DioSp.	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
MusSp.	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0
MusSp.1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
NitSp.	0	0	3	0	0	0	2	0	7	1	6	9	2	2	0
PalSp.	0	1	3	2	4	2	0	3	2	0	1	1	1	1	0
PalSp.1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
SphSp.	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
